Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	54	Adult	Female	SYER6271	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	5	Adult	Female	SYER6274	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	15	Adult	Female	SYER6277	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	27	Adult	Female	SYER6280	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	37	Adult	Female	SYER6283	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	48	Adult	Female	SYER6286	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	59	Adult	Female	SYER6289	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	41	10	Adult	Female	SYER6292	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	41	24	Adult	Female	SYER6295	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	41	37	Adult	Female	SYER6298	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	41	48	Adult	Female	SYER6301	2_SS_25_10_19
swift	large	1	C	SE64	C2	3	Fox	FR	19	10	2020	2	0	50	Adult	Unknown	SYER0320	3_FR_19_10_2
swift	large	1	R	SE60	R1	4	Kangaroo	FR	20	10	2020	8	6	32	Adult	Unknown	SYER0034	4_FR_20_10_8
swift	large	1	R	SE63	R2	4	Kangaroo	RX	20	10	2020	8	8	13	Adult	Unknown	SYER3391	4_RX_20_10_8
swift	large	1	C	SE64	C2	5	Fox	FR	22	10	2020	2	29	58	Adult	Unknown	SYER0431	5_FR_22_10_2
swift	large	1	C	SE64	C2	5	Fox	FR	22	10	2020	2	30	4	Adult	Unknown	SYER0434	5_FR_22_10_2
swift	large	1	C	SE64	C2	6	Kangaroo	FR	22	10	2020	8	15	24	Adult	Unknown	SYER0440	6_FR_22_10_8
swift	large	1	R	SE63	R2	7	Kangaroo	RX	17	10	2020	6	55	16	Adult	Unknown	SYER1555	7_RX_17_10_6
swift	large	1	R	SE63	R2	8	Kangaroo	FR	18	10	2020	17	32	8	Adult	Female	SYER2476	8_FR_18_10_17
swift	large	1	R	SE63	R2	8	Kangaroo	RX	18	10	2020	17	33	25	Adult	Female	SYER2479	8_RX_18_10_17
swift	large	1	R	SE63	R2	9	Kangaroo	RX	18	10	2020	17	33	25	Adult	Unknown	SYER2479	9_RX_18_10_17
swift	large	1	R	SE63	R2	10	Kangaroo	RX	19	10	2020	17	37	3	Adult	Unknown	SYER3277	10_RX_19_10_17
swift	large	1	R	SE63	R2	11	Kangaroo	RX	21	10	2020	7	48	51	Adult	Unknown	SYER4066	11_RX_21_10_7
swift	large	1	R	SE63	R2	12	Kangaroo	SS	22	10	2020	10	41	22	Adult	Unknown	SYER4510	12_SS_22_10_10
swift	large	1	R	SE63	R2	12	Kangaroo	SS	22	10	2020	10	43	49	Adult	Unknown	SYER4513	12_SS_22_10_10
swift	large	1	R	SE63	R2	12	Kangaroo	SS	22	10	2020	10	57	22	Adult	Unknown	SYER4517	12_SS_22_10_10
swift	large	1	R	SE63	R2	13	Kangaroo	RX	24	10	2020	15	19	8	Adult	Unknown	SYER5767	13_RX_24_10_15
swift	large	1	R	SE63	R2	13	Kangaroo	RX	24	10	2020	15	19	11	Adult	Unknown	SYER5769	13_RX_24_10_15
swift	large	1	R	SE63	R2	14	Kangaroo	RX	24	10	2020	15	19	11	Adult	Unknown	SYER5769	14_RX_24_10_15
swift	large	4	C	SE48	C3	15	Amphibian	SS	14	10	2020	18	27	25	Unknown	Unknown	SYER0768	15_SS_14_10_18
swift	large	4	C	SE48	C3	15	Amphibian	SS	14	10	2020	18	30	18	Unknown	Unknown	SYER0771	15_SS_14_10_18
swift	large	4	C	SE51	C4	16	Dog	FR	14	10	2020	22	9	27	Adult	Unknown	SYER1063	16_FR_14_10_22
swift	large	4	C	SE48	C3	16	Dog	FR	14	10	2020	22	9	32	Adult	Unknown	SYER0795	16_FR_14_10_22
swift	large	4	C	SE48	C3	17	Dog	FR	14	10	2020	22	10	48	Adult	Unknown	SYER0798	17_FR_14_10_22
swift	large	4	R	SE57	R1	17	Dog	FR	14	10	2020	22	10	51	Adult	Unknown	SYER1007	17_FR_14_10_22
swift	large	4	C	SE51	C4	18	Dog	FR	15	10	2020	4	8	0	Adult	Unknown	SYER1081	18_FR_15_10_4
swift	large	4	C	SE48	C3	18	Dog	FR	15	10	2020	4	8	5	Adult	Unknown	SYER0810	18_FR_15_10_4
swift	large	4	C	SE51	C4	19	Dog	FR	19	10	2020	23	18	23	Adult	Unknown	SYER5995	19_FR_19_10_23
swift	large	4	C	SE48	C3	19	Dog	FR	19	10	2020	23	19	20	Adult	Unknown	SYER2172	19_FR_19_10_23
swift	large	4	C	SE51	C4	19	Dog	FR	19	10	2020	23	19	27	Adult	Unknown	SYER5998	19_FR_19_10_23
swift	large	4	C	SE48	C3	19	Dog	FR	19	10	2020	23	19	29	Adult	Unknown	SYER2175	19_FR_19_10_23
swift	large	4	C	SE48	C3	20	Dog	FR	19	10	2020	23	19	20	Adult	Unknown	SYER2172	20_FR_19_10_23
swift	large	4	C	SE48	C3	20	Dog	FR	19	10	2020	23	19	29	Adult	Unknown	SYER2175	20_FR_19_10_23
swift	large	4	C	SE48	C3	21	Dog	FR	19	10	2020	23	19	20	Juvenile	Unknown	SYER2172	21_FR_19_10_23
swift	large	4	C	SE48	C3	21	Dog	FR	19	10	2020	23	19	29	Juvenile	Unknown	SYER2175	21_FR_19_10_23
swift	large	4	C	SE51	C4	22	Kangaroo	FR	21	10	2020	1	57	6	Adult	Unknown	SYER7072	22_FR_21_10_1
swift	large	4	C	SE48	C3	22	Kangaroo	FR	21	10	2020	1	57	19	Adult	Unknown	SYER2499	22_FR_21_10_1
swift	large	4	C	SE51	C4	22	Kangaroo	FR	21	10	2020	1	57	32	Adult	Unknown	SYER7075	22_FR_21_10_1
swift	large	4	C	SE48	C3	22	Kangaroo	FR	21	10	2020	1	57	41	Adult	Unknown	SYER2502	22_FR_21_10_1
swift	large	4	C	SE48	C3	22	Kangaroo	FR	21	10	2020	1	58	41	Adult	Unknown	SYER2505	22_FR_21_10_1
swift	large	4	C	SE48	C3	23	Kangaroo	FR	21	10	2020	2	0	20	Juvenile	Unknown	SYER2508	23_FR_21_10_2
swift	large	4	C	SE51	C4	24	Kangaroo	RX	22	10	2020	11	7	17	Adult	Unknown	SYER7762	24_RX_22_10_11
swift	large	4	R	SE57	R1	24	Kangaroo	SS	22	10	2020	11	7	7	Adult	Unknown	SYER6440	24_SS_22_10_11
swift	large	4	C	SE48	C3	24	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862	24_SS_22_10_11
swift	large	4	C	SE51	C4	25	Kangaroo	CC	22	10	2020	11	8	46	Adult	Unknown	SYER7777	25_CC_22_10_11
swift	large	4	C	SE51	C4	25	Kangaroo	FR	22	10	2020	11	8	13	Adult	Unknown	SYER7771	25_FR_22_10_11
swift	large	4	C	SE48	C3	25	Kangaroo	FR	22	10	2020	11	8	36	Adult	Unknown	SYER2868	25_FR_22_10_11
swift	large	4	R	SE57	R1	25	Kangaroo	FR	22	10	2020	11	8	51	Adult	Unknown	SYER6443	25_FR_22_10_11
swift	large	4	R	SE57	R1	25	Kangaroo	FR	22	10	2020	11	9	11	Adult	Unknown	SYER6446	25_FR_22_10_11
swift	large	4	C	SE48	C3	25	Kangaroo	FR	22	10	2020	11	9	59	Adult	Unknown	SYER2875	25_FR_22_10_11
swift	large	4	C	SE51	C4	25	Kangaroo	RX	22	10	2020	11	7	17	Adult	Unknown	SYER7762	25_RX_22_10_11
swift	large	4	C	SE51	C4	25	Kangaroo	RX	22	10	2020	11	7	48	Adult	Unknown	SYER7765	25_RX_22_10_11
swift	large	4	C	SE48	C3	25	Kangaroo	RX	22	10	2020	11	7	55	Adult	Unknown	SYER2859	25_RX_22_10_11
swift	large	4	R	SE57	R1	25	Kangaroo	SS	22	10	2020	11	7	7	Adult	Unknown	SYER6440	25_SS_22_10_11
swift	large	4	C	SE51	C4	25	Kangaroo	SS	22	10	2020	11	8	2	Adult	Unknown	SYER7768	25_SS_22_10_11
swift	large	4	C	SE48	C3	25	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862	25_SS_22_10_11
swift	large	4	C	SE48	C3	25	Kangaroo	SS	22	10	2020	11	8	24	Adult	Unknown	SYER2865	25_SS_22_10_11
swift	large	4	C	SE48	C3	26	Kangaroo	FR	22	10	2020	11	8	24	Adult	Unknown	SYER2865	26_FR_22_10_11
swift	large	4	C	SE48	C3	26	Kangaroo	FR	22	10	2020	11	8	36	Adult	Unknown	SYER2868	26_FR_22_10_11
swift	large	4	C	SE48	C3	26	Kangaroo	FR	22	10	2020	11	9	36	Adult	Unknown	SYER2871	26_FR_22_10_11
swift	large	4	C	SE48	C3	26	Kangaroo	RX	22	10	2020	11	7	55	Adult	Unknown	SYER2859	26_RX_22_10_11
swift	large	4	C	SE48	C3	26	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862	26_SS_22_10_11
swift	large	4	C	SE48	C3	27	Kangaroo	RX	22	10	2020	11	7	58	Adult	Unknown	SYER2861	27_RX_22_10_11
swift	large	4	C	SE48	C3	27	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862	27_SS_22_10_11
swift	large	4	C	SE48	C3	27	Kangaroo	SS	22	10	2020	11	8	24	Adult	Unknown	SYER2865	27_SS_22_10_11
