Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr	behav
reconyx	small	8	C	RH1	C4	75	Kangaroo	FR	21	10	2020	6	26	29	Adult	Unknown	RCNX4102	75_FR_21_10_6	1
reconyx	small	8	C	RH1	C4	76	Kangaroo	FR	21	10	2020	6	41	40	Juvenile	Unknown	RCNX4105	76_FR_21_10_6	1
reconyx	small	8	C	RH1	C4	77	Whiptail	FR	17	10	2020	15	49	40	Adult	Unknown	RCNX4849	77_FR_17_10_15	1
reconyx	small	8	C	RH1	C4	78	Kangaroo	FR	17	10	2020	15	51	22	Adult	FWPJ	RCNX4858	78_FR_17_10_15	1
reconyx	small	8	C	RH1	C4	79	Kangaroo	FR	17	10	2020	15	51	22	Joey	Unknown	RCNX4858	79_FR_17_10_15	1
reconyx	small	8	C	RH1	C4	80	Kangaroo	FR	17	10	2020	15	51	22	Adult	Unknown	RCNX4858	80_FR_17_10_15	1
reconyx	small	8	C	RH1	C4	80	Kangaroo	SS	17	10	2020	15	51	31	Adult	Unknown	RCNX4867	80_SS_17_10_15	1
reconyx	small	8	C	RH1	C4	81	Kangaroo	FR	17	10	2020	15	52	50	Adult	Unknown	RCNX4885	81_FR_17_10_15	1
reconyx	small	8	C	RH1	C4	82	Kangaroo	FR	17	10	2020	15	58	1	Adult	FWPJ	RCNX4889	82_FR_17_10_15	1
reconyx	small	8	C	RH1	C4	83	Kangaroo	FR	17	10	2020	15	58	1	Joey	Unknown	RCNX4889	83_FR_17_10_15	1
reconyx	small	8	C	RH1	C4	84	Kangaroo	FR	17	10	2020	16	27	25	Juvenile	Unknown	RCNX4897	84_FR_17_10_16	1
reconyx	small	8	C	RH1	C4	85	Kangaroo	FR	17	10	2020	18	20	11	Juvenile	Unknown	RCNX4912	85_FR_17_10_18	1
reconyx	small	8	C	RH1	C4	85	Kangaroo	SS	17	10	2020	18	19	59	Juvenile	Unknown	RCNX4900	85_SS_17_10_18	1
reconyx	small	8	C	RH1	C4	86	Macropod	FR	18	10	2020	4	52	52	Unknown	Unknown	RCNX4927	86_FR_18_10_4	1
reconyx	small	8	C	RH2	C3	87	Whiptail	FR	18	10	2020	5	11	50	Adult	Unknown	RCNX1117	87_FR_18_10_5	1
reconyx	small	8	C	RH1	C4	88	Kangaroo	FR	18	10	2020	5	36	7	Adult	Female	RCNX4939	88_FR_18_10_5	1
reconyx	small	8	C	RH1	C4	89	Kangaroo	FR	18	10	2020	5	36	31	Juvenile	Unknown	RCNX4945	89_FR_18_10_5	1
reconyx	small	8	C	RH2	C3	89	Kangaroo	SS	18	10	2020	5	38	46	Juvenile	Unknown	RCNX1186	89_SS_18_10_5	1
reconyx	small	8	C	RH1	C4	90	Kangaroo	FR	18	10	2020	5	46	12	Juvenile	Unknown	RCNX4963	90_FR_18_10_5	1
reconyx	small	8	C	RH2	C3	90	Kangaroo	SS	18	10	2020	6	2	16	Juvenile	Unknown	RCNX1216	90_SS_18_10_6	1
reconyx	small	8	C	RH1	C4	91	Kangaroo	FR	18	10	2020	8	7	21	Adult	Female	RCNX5317	91_FR_18_10_8	1
reconyx	small	8	R	RH3	R1	91	Kangaroo	RX	18	10	2020	8	8	7	Adult	Female	RCNX1426	91_RX_18_10_8	0
reconyx	small	8	C	RH2	C3	91	Kangaroo	SS	18	10	2020	8	7	15	Adult	Female	RCNX1281	91_SS_18_10_8	1
reconyx	small	8	C	RH1	C4	92	Kangaroo	FR	18	10	2020	8	7	21	Juvenile	Unknown	RCNX5317	92_FR_18_10_8	1
reconyx	small	8	R	RH3	R1	92	Kangaroo	RX	18	10	2020	8	8	7	Juvenile	Unknown	RCNX1426	92_RX_18_10_8	0
reconyx	small	8	C	RH1	C4	92	Kangaroo	SS	18	10	2020	8	7	32	Juvenile	Unknown	RCNX5322	92_SS_18_10_8	1
reconyx	small	8	C	RH1	C4	93	Kangaroo	FR	18	10	2020	14	0	33	Adult	FWPJ	RCNX5398	93_FR_18_10_14	1
reconyx	small	8	C	RH1	C4	94	Kangaroo	SS	18	10	2020	14	0	33	Joey	Unknown	RCNX5398	94_SS_18_10_14	1
reconyx	small	8	C	RH4	C1	95	Kangaroo	CC	19	10	2020	15	27	15	Juvenile	Unknown	RCNX1561	95_CC_19_10_15	1
reconyx	small	8	C	RH4	C1	95	Kangaroo	FR	19	10	2020	15	26	21	Juvenile	Unknown	RCNX1543	95_FR_19_10_15	1
reconyx	small	8	R	RH3	R1	95	Kangaroo	RX	19	10	2020	15	33	25	Juvenile	Unknown	RCNX1624	95_RX_19_10_15	0
reconyx	small	8	C	RH4	C1	95	Kangaroo	SS	19	10	2020	15	26	31	Juvenile	Unknown	RCNX1552	95_SS_19_10_15	1
reconyx	small	8	C	RH5	C2	96	Kangaroo	CC	19	10	2020	15	34	8	Adult	Male	RCNX1561	96_CC_19_10_15	1
reconyx	small	8	C	RH4	C1	96	Kangaroo	FR	19	10	2020	15	32	30	Adult	Male	RCNX1567	96_FR_19_10_15	1
reconyx	small	8	C	RH4	C1	96	Kangaroo	SS	19	10	2020	15	32	51	Adult	Male	RCNX1570	96_SS_19_10_15	1
reconyx	small	8	R	RH3	R1	97	Kangaroo	FR	19	10	2020	15	36	0	Adult	Unknown	RCNX1642	97_FR_19_10_15	1
reconyx	small	8	R	RH3	R1	97	Kangaroo	RX	19	10	2020	15	35	57	Adult	Unknown	RCNX1639	97_RX_19_10_15	0
reconyx	small	8	C	RH1	C4	98	Kangaroo	FR	19	10	2020	15	36	7	Adult	Female	RCNX6293	98_FR_19_10_15	1
reconyx	small	8	R	RH3	R1	98	Kangaroo	RX	19	10	2020	15	35	55	Adult	Female	RCNX1636	98_RX_19_10_15	0
reconyx	small	8	C	RH1	C4	99	Kangaroo	FR	19	10	2020	15	36	19	Juvenile	Unknown	RCNX6304	99_FR_19_10_15	1
reconyx	small	8	R	RH3	R1	99	Kangaroo	RX	19	10	2020	15	35	55	Juvenile	Unknown	RCNX1636	99_RX_19_10_15	0
reconyx	small	8	C	RH1	C4	99	Kangaroo	SS	19	10	2020	15	36	7	Juvenile	Unknown	RCNX6293	99_SS_19_10_15	1
reconyx	small	8	C	RH1	C4	100	Kangaroo	FR	19	10	2020	15	42	9	Adult	Unknown	RCNX6340	100_FR_19_10_15	1
reconyx	small	8	C	RH1	C4	100	Kangaroo	SS	19	10	2020	15	42	19	Adult	Unknown	RCNX6343	100_SS_19_10_15	1
reconyx	small	8	C	RH5	C2	101	Kangaroo	FR	19	10	2020	15	34	45	Adult	FWPJ	RCNX1570	101_FR_19_10_15	1
reconyx	small	8	C	RH4	C1	101	Kangaroo	RX	19	10	2020	15	35	0	Adult	FWPJ	RCNX1597	101_RX_19_10_15	0
reconyx	small	8	C	RH5	C2	101	Kangaroo	SS	19	10	2020	15	35	5	Adult	FWPJ	RCNX1573	101_SS_19_10_15	1
reconyx	small	8	C	RH4	C1	102	Kangaroo	RX	19	10	2020	15	35	0	Joey	Unknown	RCNX1597	102_RX_19_10_15	0
reconyx	small	8	C	RH5	C2	102	Kangaroo	SS	19	10	2020	15	34	45	Joey	Unknown	RCNX1570	102_SS_19_10_15	1
reconyx	small	8	C	RH1	C4	103	Kangaroo	FR	19	10	2020	16	38	12	Juvenile	Unknown	RCNX6398	103_FR_19_10_16	1
reconyx	small	8	C	RH1	C4	103	Kangaroo	SS	19	10	2020	16	38	19	Juvenile	Unknown	RCNX6406	103_SS_19_10_16	1
reconyx	small	8	C	RH1	C4	104	Whiptail	FR	19	10	2020	22	25	14	Adult	Unknown	RCNX6475	104_FR_19_10_22	1
reconyx	small	8	C	RH1	C4	104	Whiptail	SS	19	10	2020	22	24	58	Adult	Unknown	RCNX6472	104_SS_19_10_22	1
reconyx	small	8	C	RH1	C4	105	Kangaroo	FR	20	10	2020	3	52	11	Adult	Unknown	RCNX6484	105_FR_20_10_3	1
reconyx	small	8	C	RH2	C3	106	Whiptail	FR	20	10	2020	4	42	55	Adult	Unknown	RCNX2290	106_FR_20_10_4	1
reconyx	small	8	C	RH2	C3	106	Whiptail	RX	20	10	2020	4	47	10	Adult	Unknown	RCNX2347	106_RX_20_10_4	0
reconyx	small	8	C	RH2	C3	106	Whiptail	SS	20	10	2020	4	43	46	Adult	Unknown	RCNX2299	106_SS_20_10_4	1
reconyx	small	8	C	RH1	C4	107	Kangaroo	FR	20	10	2020	5	33	15	Adult	Unknown	RCNX6508	107_FR_20_10_5	1
reconyx	small	8	R	RH7	R2	107	Kangaroo	RX	20	10	2020	5	33	25	Adult	Unknown	RCNX3298	107_RX_20_10_5	0
reconyx	small	8	C	RH1	C4	108	Kangaroo	FR	20	10	2020	5	58	30	Adult	Unknown	RCNX6511	108_FR_20_10_5	1
reconyx	small	8	R	RH3	R1	108	Kangaroo	RX	20	10	2020	6	19	51	Adult	Unknown	RCNX1711	108_RX_20_10_6	0
reconyx	small	8	R	RH3	R1	108	Kangaroo	SS	20	10	2020	5	58	28	Adult	Unknown	RCNX1708	108_SS_20_10_5	1
reconyx	small	8	C	RH1	C4	109	Kangaroo	FR	20	10	2020	6	19	53	Adult	Male	RCNX6514	109_FR_20_10_6	1
reconyx	small	8	C	RH2	C3	109	Kangaroo	RX	20	10	2020	6	20	35	Adult	Male	RCNX2470	109_RX_20_10_6	0
reconyx	small	8	R	RH3	R1	110	Kangaroo	FR	18	10	2020	17	3	48	Adult	Male	RCNX1495	110_FR_18_10_17	1
reconyx	small	8	R	RH3	R1	110	Kangaroo	RX	18	10	2020	17	3	46	Adult	Male	RCNX1492	110_RX_18_10_17	0
reconyx	small	8	C	RH1	C4	111	Amphibian	SS	19	10	2020	0	28	29	Unknown	Unknown	RCNX6725	111_SS_19_10_0	1
reconyx	small	8	R	RH3	R1	112	Kangaroo	FR	19	10	2020	6	42	31	Adult	Unknown	RCNX1510	112_FR_19_10_6	1
reconyx	small	8	R	RH3	R1	112	Kangaroo	RX	19	10	2020	6	42	51	Adult	Unknown	RCNX1519	112_RX_19_10_6	0
reconyx	small	8	R	RH3	R1	112	Kangaroo	SS	19	10	2020	6	42	34	Adult	Unknown	RCNX1513	112_SS_19_10_6	1
reconyx	small	8	C	RH2	C3	113	Kangaroo	FR	19	10	2020	7	9	27	Adult	Male	RCNX1402	113_FR_19_10_7	1
