Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Kangaroo	Whiptail	Macropod	Monitor	Cow	Fox	Possum	Hare	Rabbit	Dog	Deer	Amphibian	Snake	Dragon	Rodent	Quail	Cat	Unknown	All_animals						
swift	small	22	R	S10	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	23	C	S01	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	23	C	S09	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	23	C	S07	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	23	C	S11	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	23	R	S04	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	23	R	S14	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	24	C	UQ28	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
reconyx	large	24	C	UQ72	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	24	C	UQ124	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	24	C	UQ21	C4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1						
reconyx	large	24	R	UQ83	R1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	11						
reconyx	large	24	R	UQ14	R2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1						
swift	large	25	C	S08	C1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	1	14						
swift	large	25	C	S15	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1						
swift	large	25	C	S16	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	25	C	S05	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	25	R	S18	R1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	1	16						
swift	large	25	R	S14	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	26	C	S05	C1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1						
swift	large	26	C	S17	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	26	C	S08	C3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9						
swift	large	26	C	S11	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	26	R	S06	R1	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	15						
