Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	48	Adult	Female	SYER6286
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	59	Adult	Female	SYER6289
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	41	10	Adult	Female	SYER6292
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	41	24	Adult	Female	SYER6295
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	41	37	Adult	Female	SYER6298
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	41	48	Adult	Female	SYER6301
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	19	41	58	Adult	Female	SYER6304
swift	large	1	R	SE63	R2	2	Cow	RX	25	10	2020	19	42	12	Adult	Female	SYER6308
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	21	5	24	Adult	Female	SYER6321
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	21	5	40	Adult	Female	SYER6324
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	21	5	56	Adult	Female	SYER6327
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	16	23	Adult	Female	SYER6334
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	16	36	Adult	Female	SYER6337
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	17	21	Adult	Female	SYER6340
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	17	33	Adult	Female	SYER6343
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	17	44	Adult	Female	SYER6346
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	17	53	Adult	Female	SYER6349
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	18	55	Adult	Female	SYER6352
swift	large	1	C	SE61	C1	2	Cow	FR	25	10	2020	23	24	58	Adult	Female	SYER2911
swift	large	1	C	SE64	C2	3	Fox	FR	19	10	2020	2	0	50	Adult	Unknown	SYER0320
swift	large	1	R	SE60	R1	4	Kangaroo	FR	20	10	2020	8	6	32	Adult	Unknown	SYER0034
swift	large	1	R	SE63	R2	4	Kangaroo	RX	20	10	2020	8	8	13	Adult	Unknown	SYER3391
swift	large	1	C	SE64	C2	5	Fox	FR	22	10	2020	2	29	58	Adult	Unknown	SYER0431
swift	large	1	C	SE64	C2	5	Fox	FR	22	10	2020	2	30	4	Adult	Unknown	SYER0434
swift	large	1	C	SE64	C2	6	Kangaroo	FR	22	10	2020	8	15	24	Adult	Unknown	SYER0440
swift	large	1	R	SE63	R2	7	Kangaroo	RX	17	10	2020	6	55	16	Adult	Unknown	SYER1555
swift	large	1	R	SE63	R2	8	Kangaroo	FR	18	10	2020	17	32	8	Adult	Female	SYER2476
swift	large	1	R	SE63	R2	8	Kangaroo	RX	18	10	2020	17	33	25	Adult	Female	SYER2479
swift	large	1	R	SE63	R2	9	Kangaroo	RX	18	10	2020	17	33	25	Adult	Unknown	SYER2479
swift	large	1	C	SE63	R2	10	Kangaroo	RX	19	10	2020	17	37	3	Adult	Unknown	SYER3277
swift	large	1	R	SE63	R2	11	Kangaroo	RX	21	10	2020	7	48	51	Adult	Unknown	SYER4066
swift	large	1	R	SE63	R2	12	Kangaroo	SS	22	10	2020	10	41	22	Adult	Unknown	SYER4510
swift	large	1	R	SE63	R2	12	Kangaroo	SS	22	10	2020	10	43	49	Adult	Unknown	SYER4513
swift	large	1	R	SE63	R2	12	Kangaroo	SS	22	10	2020	10	57	22	Adult	Unknown	SYER4517
swift	large	1	R	SE63	R2	13	Kangaroo	RX	24	10	2020	15	19	8	Adult	Unknown	SYER5767
swift	large	1	R	SE63	R2	13	Kangaroo	RX	24	10	2020	15	19	11	Adult	Unknown	SYER5769
swift	large	1	R	SE63	R2	14	Kangaroo	RX	24	10	2020	15	19	11	Adult	Unknown	SYER5769
swift	large	4	C	SE48	C3	15	Amphibian	SS	14	10	2020	18	27	25	Unknown	Unknown	SYER0768
swift	large	4	C	SE48	C3	15	Amphibian	SS	14	10	2020	18	30	18	Unknown	Unknown	SYER0771
swift	large	4	C	SE51	C4	16	Dog	FR	14	10	2020	22	9	27	Adult	Unknown	SYER1063
swift	large	4	C	SE48	C3	16	Dog	FR	14	10	2020	22	9	32	Adult	Unknown	SYER0795
swift	large	4	C	SE48	C3	17	Dog	FR	14	10	2020	22	10	48	Adult	Unknown	SYER0798
swift	large	4	R	SE57	R1	17	Dog	FR	14	10	2020	22	10	51	Adult	Unknown	SYER1007
swift	large	4	C	SE51	C4	18	Dog	FR	15	10	2020	4	8	0	Adult	Unknown	SYER1081
swift	large	4	C	SE48	C3	18	Dog	FR	15	10	2020	4	8	5	Adult	Unknown	SYER0810
swift	large	4	C	SE51	C4	19	Dog	FR	19	10	2020	23	18	23	Adult	Unknown	SYER5995
swift	large	4	C	SE48	C3	19	Dog	FR	19	10	2020	23	19	20	Adult	Unknown	SYER2172
swift	large	4	C	SE51	C4	19	Dog	FR	19	10	2020	23	19	27	Adult	Unknown	SYER5998
swift	large	4	C	SE48	C3	19	Dog	FR	19	10	2020	23	19	29	Adult	Unknown	SYER2175
swift	large	4	C	SE48	C3	20	Dog	FR	19	10	2020	23	19	20	Adult	Unknown	SYER2172
swift	large	4	C	SE48	C3	20	Dog	FR	19	10	2020	23	19	29	Adult	Unknown	SYER2175
swift	large	4	C	SE48	C3	21	Dog	FR	19	10	2020	23	19	20	Juvenile	Unknown	SYER2172
swift	large	4	C	SE48	C3	21	Dog	FR	19	10	2020	23	19	29	Juvenile	Unknown	SYER2175
swift	large	4	C	SE51	C4	22	Kangaroo	FR	21	10	2020	1	57	6	Adult	Unknown	SYER7072
swift	large	4	C	SE48	C3	22	Kangaroo	FR	21	10	2020	1	57	19	Adult	Unknown	SYER2499
swift	large	4	C	SE51	C4	22	Kangaroo	FR	21	10	2020	1	57	32	Adult	Unknown	SYER7075
swift	large	4	C	SE48	C3	22	Kangaroo	FR	21	10	2020	1	57	41	Adult	Unknown	SYER2502
swift	large	4	C	SE48	C3	22	Kangaroo	FR	21	10	2020	1	58	41	Adult	Unknown	SYER2505
swift	large	4	C	SE48	C3	23	Kangaroo	FR	21	10	2020	2	0	20	Juvenile	Unknown	SYER2508
swift	large	4	R	SE57	R1	24	Kangaroo	SS	22	10	2020	11	7	7	Adult	Unknown	SYER6440
swift	large	4	C	SE51	C4	24	Kangaroo	RX	22	10	2020	11	7	17	Adult	Unknown	SYER7762
swift	large	4	C	SE48	C3	24	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862
